factor,PC,eta2
caries_factor,PC2,0.19747887546869317
Gender,PC2,0.14204256838262375
Anamnes_factor,PC2,0.03656500130489421
Parodont,PC2,0.03415589931338605
Age_factor,PC2,0.00104561071458092
caries_factor,PC4,0.4491725839742489
Anamnes_factor,PC4,0.23858175618778896
Age_factor,PC4,0.1989290481543482
Parodont,PC4,0.13236943057828804
Gender,PC4,0.00687652893948401
caries_factor,PC5,0.27596356310072034
Parodont,PC5,0.17570769874784214
Anamnes_factor,PC5,0.1514512681723195
Gender,PC5,0.1207575439184612
Age_factor,PC5,0.06835343251489091
